citation,topic,habitat_type,habitat_subtype,habitat_depth,assemblage_type,species_name_scientific,species_name_common,geographic_region,ecological_fitness_metric,climate_effect,mpa_effect,analytical method,name_of_mpa,Coordinates,Latitude,Longitude,magnitude,mechanism
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,juvenille_coral,na,na,tropical_atlantic,abundance,habitat_formation,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,community_composition,habitat_formation,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,protected areas had some impact but not statistically significant,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,size_structure,habitat_formation,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,coral_cover,disease_parasite,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,juvenille_coral,na,na,tropical_atlantic,abundance,disease_parasite,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,community_composition,disease_parasite,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,protected areas had some impact but not statistically significant,
"Manfrino, Carrie, et al. ""A positive trajectory for corals at Little Cayman Island."" PLoS One 8.10 (2013): e75432.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,size_structure,disease_parasite,no_effect,inside/outside study,Little Cayman Island,"19.685657086385277, -80.08191207432714",19.68565709,-80.08191207,,
"McClanahan, T. R. ""Response of the coral reef benthos and herbivory to fishery closure management and the 1998 ENSO disturbance."" Oecologia 155.1 (2008): 169-177.",community,tropical,coral_reef,,benthic,na,na,western_indo_pacific,benthic_cover,habitat_formation,negative_ecosystem,inside/outside study,Kenya (multiple sites),"-3.6689310869195824, 39.99209901117372",-3.668931087,39.99209901,,"The recovery of the fishery closures to initial levels was slower than the fished reefs, which was attributable to the higher initial coral cover levels and no or slow recovery of sensitive and fast-growing branching coral taxa such as Acropora and Montipora in unfished compared to fished reefs (Fig. 3)."
"McClanahan, T. R. ""Response of the coral reef benthos and herbivory to fishery closure management and the 1998 ENSO disturbance."" Oecologia 155.1 (2008): 169-177.",community,tropical,coral_reef,,herbivorous_fish,na,na,western_indo_pacific,herbivory,habitat_formation,negative_ecosystem,inside/outside study,Kenya (multiple sites),"-3.6689310869195824, 39.99209901117372",-3.668931087,39.99209901,,"The sum of both sources of herbivory indicated that herbivory was higher in unfished than fished reefs (by »30% for the biomass, but by »340% for the assay method), and did not change across the 1998 ENSO."
"McClanahan, Tim R., et al. ""Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance."" Aquatic Conservation: Marine and Freshwater Ecosystems 19.7 (2009): 758-771.",assemblage,tropical,coral_reef,,coral,na,na,western_indo_pacific,diversity,habitat_formation,positive_ecosystem,inside/outside study,Tanzania (multiple sites),"-6.734787282458915, 39.29753602269165",-6.734787282,39.29753602,,
"McClanahan, Tim R., et al. ""Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance."" Aquatic Conservation: Marine and Freshwater Ecosystems 19.7 (2009): 758-771.",assemblage,tropical,coral_reef,,sea_urchins,na,na,western_indo_pacific,biomass,habitat_formation,positive_ecosystem,inside/outside study,Tanzania (multiple sites),"-6.734787282458915, 39.29753602269165",-6.734787282,39.29753602,,
"McClanahan, Tim R., et al. ""Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance."" Aquatic Conservation: Marine and Freshwater Ecosystems 19.7 (2009): 758-771.",assemblage,tropical,coral_reef,,sea_urchins,na,na,western_indo_pacific,predation,habitat_formation,positive_ecosystem,inside/outside study,Tanzania (multiple sites),"-6.734787282458915, 39.29753602269165",-6.734787282,39.29753602,,
"McClanahan, Tim R., et al. ""Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance."" Aquatic Conservation: Marine and Freshwater Ecosystems 19.7 (2009): 758-771.",assemblage,tropical,coral_reef,,fin_fish,na,na,western_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,Tanzania (multiple sites),"-6.734787282458915, 39.29753602269165",-6.734787282,39.29753602,,
"McClanahan, Tim R., et al. ""Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance."" Aquatic Conservation: Marine and Freshwater Ecosystems 19.7 (2009): 758-771.",assemblage,tropical,coral_reef,,fin_fish,na,na,western_indo_pacific,diversity,mortality,no_effect,inside/outside study,Tanzania (multiple sites),"-6.734787282458915, 39.29753602269165",-6.734787282,39.29753602,,
"McClanahan, Tim R., et al. ""Changes in northern Tanzania coral reefs during a period of increased fisheries management and climatic disturbance."" Aquatic Conservation: Marine and Freshwater Ecosystems 19.7 (2009): 758-771.",assemblage,tropical,coral_reef,,na,Thalassia hemprichii,seagrass,western_indo_pacific,herbivory,habitat_formation,no_effect,inside/outside study,Tanzania (multiple sites),"-6.734787282458915, 39.29753602269165",-6.734787282,39.29753602,,
"Montero‐Serra, Ignasi, et al. ""Marine protected areas enhance structural complexity but do not buffer the consequences of ocean warming for an overexploited precious coral."" Journal of Applied Ecology 56.5 (2019): 1063-1074.",species,temperate,shallow_reef,,na,Corallium rubrum,Mediterranean red coral,temperate_northern_atlantic,colony_shrinkage_rate,habitat_formation,positive_population,inside/outside study,NW Mediterranean Sea (multiple sites),"42.400604795425565, 8.431206209907895",42.4006048,8.43120621,,
"Montero‐Serra, Ignasi, et al. ""Marine protected areas enhance structural complexity but do not buffer the consequences of ocean warming for an overexploited precious coral."" Journal of Applied Ecology 56.5 (2019): 1063-1074.",species,temperate,shallow_reef,,na,Corallium rubrum,Mediterranean red coral,temperate_northern_atlantic,survival,habitat_formation,no_effect,inside/outside study,NW Mediterranean Sea (multiple sites),"42.400604795425565, 8.431206209907895",42.4006048,8.43120621,,
"Mora, Camilo. ""A clear human footprint in the coral reefs of the Caribbean."" Proceedings of the Royal Society B: Biological Sciences 275.1636 (2008): 767-773.",assemblage,tropical,coral_reef,,herbivorous_fish,na,na,tropical_atlantic,biomass,mortality,positive_ecosystem,meta-analysis,Caribbean (multiple sites),"21.26006579761266, -80.22354644580889",21.2600658,-80.22354645,,We found herbivorous fishes affecting the biomass of carnivorous fishes and the abundance of macroalgae and a reciprocal and negative relationship between corals and macroalgae
"Mora, Camilo. ""A clear human footprint in the coral reefs of the Caribbean."" Proceedings of the Royal Society B: Biological Sciences 275.1636 (2008): 767-773.",assemblage,tropical,coral_reef,,piscivorous_fish,na,na,tropical_atlantic,biomass,mortality,positive_ecosystem,meta-analysis,Caribbean (multiple sites),"21.26006579761266, -80.22354644580889",21.2600658,-80.22354645,,
"Mora, Camilo. ""A clear human footprint in the coral reefs of the Caribbean."" Proceedings of the Royal Society B: Biological Sciences 275.1636 (2008): 767-773.",assemblage,tropical,coral_reef,,coral,na,na,tropical_atlantic,mortality,habitat_formation,no_effect,meta-analysis,Caribbean (multiple sites),"21.26006579761266, -80.22354644580889",21.2600658,-80.22354645,,
"Mora, Camilo. ""A clear human footprint in the coral reefs of the Caribbean."" Proceedings of the Royal Society B: Biological Sciences 275.1636 (2008): 767-773.",assemblage,tropical,coral_reef,,macroalgal,na,na,tropical_atlantic,abundance,habitat_formation,no_effect,meta-analysis,Caribbean (multiple sites),"21.26006579761266, -80.22354644580889",21.2600658,-80.22354645,,"""Surrogates for stress and resilience such as coral diseases and coral richness showed no systematic relationship with fish biomass, coral mortality or macroalgae abundance"""
"Morton, Brian. ""Effects of extreme rainfall, typhoons and declaration of marine reserve status on corals beached at Cape d'Aguilar (1998 and 1999)."" Journal of the Marine Biological Association of the United Kingdom 82.5 (2002): 729-743.",assemblage,tropical,coral_reef,,coral,na,na,central_indo_pacific,structural_integrity,habitat_formation,positive_ecosystem,observational,Cape d’Aguilar Marine Reserve,"22.205875541110938, 114.25727341383913",22.20587554,114.2572734,,
"Mumby, Peter J., and Alastair R. Harborne. ""Marine reserves enhance the recovery of corals on Caribbean reefs."" Plos one 5.1 (2010): e8657.",community,tropical,coral_reef,shallow,coral,na,na,tropical_atlantic,benthic_cover,habitat_formation,positive_ecosystem,inside/outside study,Exuma Cays Land and Sea Park,"24.38688627044736, -76.6274739130918",24.38688627,-76.62747391,,
"Munguía-Vega, Adrián, et al. ""Marine reserves help preserve genetic diversity after impacts derived from climate variability: Lessons from the pink abalone in Baja California."" Global Ecology and Conservation 4 (2015): 264-276.",species,temperate,na,na,na,Haliotis corrugata,Pink abalone,temperate_northern_pacific,genetic_diversity,reproduction,positive_population,inside/outside study,small reserve in Baja California,"27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,,
"Olsen, Amy Y., et al. ""Changes in fish assemblages after marine heatwave events in West Hawai ‘i Island."" Marine Ecology Progress Series 698 (2022): 95-109.",assemblage,tropical,coral_reef,shallow,all_fish,na,na,eastern_indo_pacific,abundance,mortality,no_effect,inside/outside study,"West Hawai'i, multiple sites","19.89136943924893, -156.0151240294453",19.89136944,-156.015124,"""The 2 areas more open to fishing, Māhukona and Puakō, showed increases in fish abundance post-marine heatwaves, while fish abundance in Kona, the area mostly closed to fishing and with the highest percent of coral bleaching, remained high and relatively stable throughout the study period."" The more protected area had a higher abundance to start with and it stayed high (resistance) but the less protected area increased in abundance after the MHW (recovery)","""All fish assemblages changed significantly after the marine heatwaves. Across all 3 areas, the 3 most abundant functional groups (grazers, planktivores and secondary consumers) drove the observed changes in the community."""
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,hard_coral,na,na,central_indo_pacific,disease_presence_SEB,disease_parasite,negative_ecosystem,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,"""We also found a strong negative association between the prevalence of SEB and the species richness of targeted reef fish (F = 55.72, r2 = 0.90, p < 0.001; Fig. 6c), and a more moderate positive association between SEB prevalence and the cover of acroporid and poritid corals (F = 6.95, r2 = 0.54, p = 0.039; Fig. 6d), with all other variables showing no significant association.""",
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,hard_coral,na,na,central_indo_pacific,disease_presence_BrB,disease_parasite,no_effect,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,"""The prevalence of BrB was strongly positively correlated with the prevalence of bleached colonies (F = 106.95, r2 = 0.95, p < 0.001; Fig. 6e), with all other variables showing no significant association.""",
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,hard_coral,na,na,central_indo_pacific,disease_presence_GAs,disease_parasite,no_effect,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,"""None of the variables tested was significantly associated with the prevalence of GAs.""",
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,hard_coral,na,na,central_indo_pacific,bleaching_prevalence,habitat_formation,no_effect,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,"""Bivariate regressions revealed that pooled disease prevalence in acroporid and poritid corals was moderately positively correlated with the cover of these families (F = 9.47, r2 = 0.61, p = 0.022; Fig. 6a) and more weakly negatively correlated with the species richness of targeted fish (F = 6.19, r2 = 0.51, p = 0.047; Fig. 6b).""",
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,hard_coral,na,na,central_indo_pacific,coral_cover,mortality,no_effect,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,,
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,hard_coral,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,,
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,target_fish,na,na,central_indo_pacific,richness,mortality,no_effect,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,,
"Page, Cathie A., et al. ""Influence of marine reserves on coral disease prevalence."" Diseases of Aquatic Organisms 87.1-2 (2009): 135-150.",assemblage,tropical,coral_reef,shallow,target_fish,na,na,central_indo_pacific,body_size,body_size,positive_ecosystem,inside/outside study,"""Three of 4 managed reefs were legally-designated MPAs (Ngelukes, Ngemelis, Cemetery Reef) and one was unofficially considered to be an MPA (Bital Rirs) based on knowledge that no fishing occurs at the location.""","7.382289375964404, 134.4678015729989",7.382289376,134.4678016,,
"Perkins, Nicholas R., et al. ""Monitoring the resilience of a no-take marine reserve to a range extending species using benthic imagery."" PloS one 15.8 (2020): e0237257.",community,temperate,kelp_forest,,benthic,na,na,temperate_autralasia,urchin_barren_presence,habitat_formation,positive_ecosystem,inside/outside study,Governor Island NTR,"-41.89172081334384, 148.31887872029932",-41.89172081,148.3188787,"""We find a doubling in the odds of the presence of barrens in reference sites outside the NTR; however, although the NTR had consistently lower presence of barrens through time, we also find that the data collected to date does not indicate that the rate of increase in barrens inside the NTR is different to that outside. Therefore, our results imply that the NTR may have conferred resilience in terms of the resistence to the initial establishment of barrens, but that there is currently no evidence of recovery inside the NTR once barrens are established."" ",
"Randrianarivo, Mahery, et al. ""Assessing recovery potential of coral reefs in Madagascar and the effects of marine protected areas."" Regional Studies in Marine Science 77 (2024): 103710.",community,tropical,coral_reef,,benthic,na,na,western_indo_pacific,recovery_index,habitat_formation,no_effect,inside/outside study,"Madagascar, multiple sites","-15.877358276841244, 45.157579507558204",-15.87735828,45.15757951,"""The effect of the protection level of each station (fished vs. unfished) explained alone a limited amount in the variation in RI (9 %; Table 2)"" except at Nosy-Be where it accounted for 50% of the variation. ""The regional variation in RI is likely explained by differences in sea surface temperature anomalies (SSTa)"". Nosy-Be is also an older protected area",
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,all_fish,na,na,central_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,driven by high biomass of generalist large predators and large planktivores,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,generalist_large_predators,na,na,central_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,piscivorous_fish,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,large_benthic_foragers,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,croppers,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,detrivores,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,excavators,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,scrapers,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,sand_feeders,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,small_benthic_foragers,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,obligate_corallivores,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,omnivorous_pomacentrids,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,large_planktivores,na,na,central_indo_pacific,biomass,mortality,positive_ecosystem,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,small_planktivores,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,hard coral cover was a stronger driver of biomass than protection,
"Russ, Garry R., et al. ""Coral cover a stronger driver of reef fish trophic biomass than fishing."" Ecological Applications 31.1 (2021): e02224.",assemblage,tropical,coral_reef,,hard_coral,na,na,central_indo_pacific,coral_cover,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,,
"Russ, Garry R., et al. ""Partitioning no-take marine reserve (NTMR) and benthic habitat effects on density of small and large-bodied tropical wrasses."" PLoS One 12.12 (2017): e0188515.",assemblage,tropical,coral_reef,,wrasse,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,"Philippines, multiple sites","9.240408310236019, 124.05930534457215",9.24040831,124.0593053,"""However, the density of wrasses was often affected strongly by benthic cover. Hemigymnus spp. had a positive association with hard coral cover, while Thalassoma spp. and Cirrhilabrus spp. had strong positive associations with cover of rubble and dead substratum. These associations were most apparent after environmental disturbances (typhoons, coral bleaching, crown of thorns starfish (COTS) outbreaks, use of explosives and drive nets) reduced live hard coral cover and increased cover of rubble, dead substratum and sand.""","Didn't explicity report effect of protection on coral cover, but it seems disease, bleaching, and storms damaged coral irrespective of protection"
"Ceccarelli, Daniela M., et al. ""Regional‐scale disturbances drive long‐term decline of inshore coral reef fish assemblages in the Great Barrier Reef Marine Park."" Global Change Biology 30.10 (2024): e17506.",assemblage,tropical,coral_reef,,all_fish,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-19.07044421969577, 147.21675752539397",-19.07044422,147.2167575,,"The strongest positive relationship was with the cover        of        living        hard        corals,        with        fish        density         rising        rapidly         to        2500        individuals         per        1000 m 2        at        30%        coral        cover."
"Ceccarelli, Daniela M., et al. ""Regional‐scale disturbances drive long‐term decline of inshore coral reef fish assemblages in the Great Barrier Reef Marine Park."" Global Change Biology 30.10 (2024): e17506.",assemblage,tropical,coral_reef,,all_fish,na,na,central_indo_pacific,richness,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-19.07044421969577, 147.21675752539397",-19.07044422,147.2167575,,
"Ceccarelli, Daniela M., et al. ""Regional‐scale disturbances drive long‐term decline of inshore coral reef fish assemblages in the Great Barrier Reef Marine Park."" Global Change Biology 30.10 (2024): e17506.",assemblage,tropical,coral_reef,,all_fish,na,na,central_indo_pacific,community_composition,mortality,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-19.07044421969577, 147.21675752539397",-19.07044422,147.2167575,"Species composition differed between fished and  NTMR  reefs at  the Palm (Figure 3a), Keppel (Figure 3c ) and  Whitsunday Islands (Figure 3d ), but the  changes in composition over  time occurred in parallel in the  two zones.",
"Ceccarelli, Daniela M., et al. ""Regional‐scale disturbances drive long‐term decline of inshore coral reef fish assemblages in the Great Barrier Reef Marine Park."" Global Change Biology 30.10 (2024): e17506.",assemblage,tropical,coral_reef,,target_piscivorous_fish,na,na,central_indo_pacific,density,mortality,positive_ecosystem,inside/outside study,Great Barrier Reef Marine Park,"-19.07044421969577, 147.21675752539397",-19.07044422,147.2167575,,
"Ceccarelli, Daniela M., et al. ""Regional‐scale disturbances drive long‐term decline of inshore coral reef fish assemblages in the Great Barrier Reef Marine Park."" Global Change Biology 30.10 (2024): e17506.",assemblage,tropical,coral_reef,,coral,na,na,central_indo_pacific,density,habitat_formation,no_effect,inside/outside study,Great Barrier Reef Marine Park,"-19.07044421969577, 147.21675752539397",-19.07044422,147.2167575,,
"Selig, Elizabeth R., Kenneth S. Casey, and John F. Bruno. ""Temperature‐driven coral decline: the role of marine protected areas."" Global Change Biology 18.5 (2012): 1561-1570.",assemblage,tropical,coral_reef,,coral,na,na,global,coral_cover,habitat_formation,no_effect,inside/outside study,298 tropical MPAs,NA,NA,,,
"Sheehan, E. V., et al. ""Rewilding of protected areas enhances resilience of marine ecosystems to extreme climatic events."" Frontiers in Marine Science 8 (2021): 671427.",assemblage,tropical,rocky_reef,,benthic,na,na,temperate_northern_atlantic,community_composition,habitat_formation,positive_ecosystem,inside/outside study,"Lyme Bay MPA, Southwest United Kingdom","50.624193206385904, -2.8818997212940434",50.62419321,-2.881899721,"""Ecological resilience consists of elements of resistance and recovery (Angeler and Allen, 2016), and these observations suggest Lyme Bay MPA is conferring resilience through enhanced recovery despite offering little in terms of resistance to extreme storms.""",
"Smith, Alexandra, et al. ""Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico."" Ecosphere 13.3 (2022): e4002.",species,temperate,na,,benthic,Haliotis corrugata,pink abalone,temperate_northern_pacific,abundance,mortality,no_effect,inside/outside study,"Baja California Sur, multiple sites","27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,,
"Smith, Alexandra, et al. ""Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico."" Ecosphere 13.3 (2022): e4002.",species,temperate,na,,benthic,Haliotis corrugata,pink abalone,temperate_northern_pacific,body_size,body_size,positive_population,inside/outside study,"Baja California Sur, multiple sites","27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,,
"Smith, Alexandra, et al. ""Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico."" Ecosphere 13.3 (2022): e4002.",species,temperate,na,,benthic,Haliotis corrugata,pink abalone,temperate_northern_pacific,size_structure,reproduction,no_effect,inside/outside study,"Baja California Sur, multiple sites","27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,,
"Smith, Alexandra, et al. ""Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico."" Ecosphere 13.3 (2022): e4002.",species,temperate,na,,benthic,Haliotis fulgens,green abalone,temperate_northern_pacific,abundance,mortality,positive_population,inside/outside study,"Baja California Sur, multiple sites","27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,"improved recovery inside reserves, but not resistance",
"Smith, Alexandra, et al. ""Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico."" Ecosphere 13.3 (2022): e4002.",species,temperate,na,,benthic,Haliotis fulgens,green abalone,temperate_northern_pacific,body_size,body_size,positive_population,inside/outside study,"Baja California Sur, multiple sites","27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,,
"Smith, Alexandra, et al. ""Rapid recovery of depleted abalone in Isla Natividad, Baja California, Mexico."" Ecosphere 13.3 (2022): e4002.",species,temperate,na,,benthic,Haliotis fulgens,green abalone,temperate_northern_pacific,size_structure,reproduction,no_effect,inside/outside study,"Baja California Sur, multiple sites","27.04827952794199, -114.4446881856768",27.04827953,-114.4446882,,
